评论标题,评论内容,标签
突然怎么就感觉成问题股了,突然怎么就感觉成问题股了～～,中性
伊利就是一张绩优股的明牌，清清楚楚明明白白，在合理的价位买入长期持有跟随优秀的管,伊利就是一张绩优股的明牌，清清楚楚明明白白，在合理的价位买入长期持有跟随优秀的管理团队尽情享受企业发展的红利,正向
高位整理即将结束,高位整理即将结束，有望出现新高，多多关注，近期大盘低迷，时刻注意风险,负向
实话实说，伊利只能逢低买进,"散户不要追涨，伊利适合大跌买进，我25,24元买的，27元附近目前有强阻力！好公司要等好价格买比较合适。",负向
30元买的伊利滴汗滴汗滴汗,30元买的伊利[滴汗][滴汗][滴汗],负向
大宗交易你懂的看好谁卖啊,大宗交易你懂的看好谁卖啊,中性
一定要分红，格力是不分红案例！,快！,正向
你们走了，我进货183,[买入][买入][买入][买入][买入],正向
垃圾！,垃圾！,负向
新浪财经讯10月24日消息，在今天举行的2019年可持续发展论坛上，伊利集团董事,新浪财经讯10月24日消息，在今天举行的2019年可持续发展论坛上，伊利集团董事长兼首席执行官潘刚表示，推动可持续发展是所有企业的责任和使命，各行各业的龙头企业，需要站在战略高度看待和推进可持续发展。潘刚表示，推动可持续发展，首先，企业需要凝聚发展共识、激活长板优势、放大合作成效、创造社会价值，站在战略高度看待可持续发展；其次，企业要创新合作模式，实现多方的合作共赢；再次，企业要建设美好未来，将...,中性
什么情况,什么情况,中性
早该清理诈骗贴了,看到一些诈骗贴被清理 大快人心 希望股吧对那些诈骗贴要零容忍,负向
不跟大盘，狠着低,不跟大盘，狠着低～,负向
伊利收购西牧。,伊利收购西牧。,中性
因此他总是拥抱别人。他的大学同学给他取了抱抱法官的绰号。,因此他总是拥抱别人。他的大学同学给他取了“抱抱法官的绰号。,中性
伊利股份：临近前期高点！,中国股市里，一条消息完全可以改变整个趋势。一条假利好可以让个股瞬间涨停，辟谣后接连跌停，让散户无法出局；一条假利空可以让市场出现大幅暴跌，辟谣后却很难再返回高位。今天布局的德创环保相信大家应该也是小丰收一些呢。刚刚看到大家都在聊伊利股份我就帮大家看一下。伊利股份：绩优大白马，前期...,中性
还没进来的小散就保持观望吧，别来凑热闹。,还没进来的小散就保持观望吧，别来凑热闹。,中性
每天都是资金流出，年报不会有地雷吧！,每天都是资金流出，年报不会有地雷吧！,负向
鱼死网破反对反正你疼吗也不涨,鱼死网破、反对 反正你疼吗也不涨,负向
耐心等待突破，不破决不进,买股票是个技术活,中性
跌破支撑，下探到什么位置，请高人点评一下！急急急,从K线上分析，该股跌破了支撑位，下探到什么价格，真的不好说。最好先出来观望。,负向
后一波反弹总有吧想一下,后一波反弹总有吧[想一下],正向
29块补两千股，主动买套。,29块补两千股，主动买套。,负向
蒙牛的特仑苏过期了，我亲戚还送给我。我以为是好的，没查看生产日期和保质期，喝了几盒，肚子有点不舒服，就不喝喝了。,蒙牛的特仑苏过期了，我亲戚还送给我。我以为是好的，没查看生产日期和保质期，喝了几盒，肚子有点不舒服，就不喝喝了。当天，我爸说过期了，我一看果然过期了。2017年9月10日前生产的，送给我时就过期了。第二天，我把剩下的几盒都用刀划开倒掉了，我怕父母还喝，伤害他们身体，也怕包装完好扔...,负向
套套套，好多游资给机构耍了，明天看谁砸得快。,套套套，好多游资给机构耍了，明天看谁砸得快。,负向
港仔抛的原因知道了，没有什么大不了。,澳洲最大乳制品企业Murray Goulburn第二轮竞购於周二(10日)截止。《澳洲人报》(The Australian)引述消息报道，指负责的投资银行德银正接触参与竞购的加拿大乳制品企业Saputo及澳洲同业Bega Cheese。此外，新西兰乳业巨擘恒天然(Fonterra...,中性
看来下周业绩报告利好,看来下周业绩报告利好,正向
伊利股份，每到此点只会让人越陷越深！,伊利股份，每到此点只会让人越陷越深！,负向
房价不涨物价涨看好未来十年的猪肉行情伊利股份加油,这才是真正的价值投资，比贵州茅台强万倍，比格力电器强百倍,正向
高抛低吸，30号还有解禁呢,高抛低吸，30号还有解禁呢,中性
器股价的影响只是暂时的,器股价的影响只是暂时的,正向
旨在抑制上市公司过度融资的再融资新政于2月17日与市场见面了,演变成了赤裸裸的圈钱史,中性
你怕啥,现在新股，上市就几个板，十几板，动辄几十块，没人说贵，伊利这认真踏实做实业的公司，大资金做了两年，才到30.来做解放军，人家不要成本.这么好公司只值这个价，调研团队是吃干饭的。拿着就是你的。扔了就是别人的。,正向
伊利半价股权激励，是对企业利润赤裸裸的掠夺！,伊利半价股权激励，是对企业利润赤裸裸的掠夺！,中性
美储联加息了还不跑，更待何时，换手率那么低,美储联加息了还不跑，更待何时，换手率那么低？？？,负向
怎么一买就被套,完了，进入阴跌模式！,负向
伊利股份莫名其妙跌停了，之前有老板电器跌停，昨天格力电器跌停，今天是伊利股份跌停,老板电器，我全部家当买你做价值投资，你一年到头业绩才增长这么点？摁跌停！  格力电器，我全部家当买你做价值投资，你一年到头连分红都没有？摁跌停！  伊利股份，我全部家当买你做价值投资，你一年到头就分这么点钱？摁跌停！,负向
区块链离不开云计算公司神州数码云计算今年营收十多亿元,区块链离不开云计算公司、神州数码云计算今年营收十多亿元,中性
加关税对伊利影响不大,加关税对伊利影响不大,中性
年报还有十几天，可以进场了。,年报还有十几天，可以进场了。,正向
成功把我洗走了,成功把我洗走了,负向
伊利目前走势说明了主力同广大股民博弈的结果，散户持有越多，股票就越难涨，股票上涨,伊利目前走势说明了主力同广大股民博弈的结果，散户持有越多，股票就越难涨，股票上涨往往是让散户接盘，而不是给散户抬轿,中性
这股比中国平安还牛吗，三季报牛到不可能暴雷秋天比夏天喝牛奶的多,这股比中国平安还牛吗，三季报牛到不可能暴雷？秋天比夏天喝牛奶的多？,正向
几十亿资金净流入龙虎榜呢,几十亿资金净流入 龙虎榜呢？,正向
给个机会，红了我就出,给个机会，红了我就出,正向
否还能快速攀升,否还能快速攀升？,中性
有谁知道今天伊利为啥停牌好困惑,有谁知道今天伊利为啥停牌[好困惑],中性
尾盘突然急拉怎么回事呢,尾盘突然急拉怎么回事呢？,中性
就这点资金成交就想骗我们低开交出筹码,就这点资金成交就想骗我们低开交出筹码？？？,负向
快逃,快逃,负向
股吧里有几个托，大家都别吱声！看看就行，你一说话他就能揣摩你的心思！想一下,股吧里有几个托，大家都别吱声！看看就行，你一说话他就能揣摩你的心思！[想一下][想一下][想一下],正向
要想保护庄稼就必须驱散麻雀！,要想保护庄稼就必须驱散麻雀！,中性
买楼总比理财好！,买楼总比理财好！,负向
经历过太多次的黑周四了,经历过太多次的黑周四了,负向
但愿伊利不要涨停，要涨不停，不停涨大笑大笑，持有伊利不会让你失望的，伊利,但愿伊利不要涨停，要涨不停，不停涨[大笑][大笑]，持有伊利不会让你失望的，伊利加油！！[微笑],正向
伊利股份，中国的的可口可乐，值得投资！,伊利股份，中国的的可口可乐，值得投资！,正向
额外绯闻,核桃仁hrt,负向
昨天说涨停的呢大笑,昨天说涨停的呢[大笑],负向
伊利此价格轻仑，升与跌都没有压力，随庄家怎样玩。,伊利此价格轻仑，升与跌都没有压力，随庄家怎样玩。,中性
很快就会迎来大调整，空仓等接,很快就会迎来大调整，空仓等接,正向
该慢慢出货了，想什么呢，疯了吧为什么,该慢慢出货了，想什么呢，疯了吧[为什么],负向
伊利股份对不起投资者，让投资者伤透了心，融资净买入付3150万，陆续还会有大量筹码还给伊利股份,现在能涨40%以上的股票多得是，伊利失去一个用户，在你的家庭乃至几个家族，朋友圈一定会选择好的产品，好的企业而不是伊利，一定PS你的产品的，你就会失去一片市场，因为你得到廉价的筹码了，这些带血的筹码不是那么好拿的，融资净买入付3150万是说明问题的，远离垃圾企业，天涯何处无芳草。...,负向
今天卖了合算吗,今天卖了合算吗,中性
大盘这个逼样，伊利这样不错了，还想怎样,大盘这个逼样，伊利这样不错了，还想怎样？,中性
如果15元左右的价格定增那么之前的下跌就是阴谋！,通过打压股价降低成本向关联方输送利益。如果15元左右的价格定增那么之前的下跌就是阴谋！,中性
中了新股钱不够,中了新股都交不起钱了，就是因为这个破股因为这点破事停牌停牌！[大便],负向
股权之争时，任何一方都不会轻易打压股价，否则另一方照单全收时则全盘兼输！如伊利控,股权之争时，任何一方都不会轻易打压股价，否则另一方照单全收时则全盘兼输！如伊利控盘，则股价会较大幅上涨，一为定增成功，二为增加举牌者成本，阻碍及稀释举牌者股权！如阳光控盘，则股价在一定时间内上下振荡上涨，做到较低位吸筹！所以散户手中的筹码将决定胜利的一方，捂盘待涨者多，伊利胜！止...,正向
今天能站在19以上就满足了,今天能站在19以上就满足了,中性
如此压着不让上，伊利会有停牌，增发，收购之类的事情吗围观,如此压着不让上，伊利会有停牌，增发，收购之类的事情吗？[围观],负向
拿着不动都十年26倍。赞,拿着不动都十年26倍。[赞],正向
有庄就是好，伊利需要长庄。,有庄就是好，伊利需要长庄。,正向
伊利我亏了，怎么办,伊利我亏了，怎么办？,负向
振兴乳业,振兴乳业,正向
管理层不厚道，以后喝蒙牛,管理层不厚道，以后喝蒙牛,正向
你这个鬼样子要怎样成本31,你这个鬼样子要怎样？成本31,负向
没有啊，app,没有啊，app,中性
你们坚持不了两年，不要这么说大笑大笑,你们坚持不了两年，不要这么说[大笑][大笑],中性
等回本了就去买蒙牛和光明了垃圾。。。。,等回本了就去买蒙牛和光明了垃圾。。。。,负向
为什么不狠狠的砸到16以下，与所谓的增发接轨伊利控股圣牧又黄了吗,为什么不狠狠的砸到16以下，与所谓的增发接轨? 伊利控股圣牧又黄了吗?,负向
今天在地铁上看到一个非常可爱的婴儿咬着手指在看着我笑，嗯，嗯，我知道伊利是该红了,今天在地铁上看到一个非常可爱的婴儿咬着手指在看着我笑，嗯，嗯，我知道伊利是该红了[围观],正向
已出公告，收购，利好。,已出公告，收购，利好。,正向
以下跌迎接万科的跌停复盘,以下跌迎接万科的跌停复盘?,负向
吧里太活跃了，看来还是涨不动,没有主力机构进入，散户又太多，除了被套的又都拿不住票，有买有卖，行不成合力，怎么能涨？,负向
你和格力比跌停吗,你和格力比跌停吗,负向
非公开发行就等于抢劫,非公开发行股票和抢劫无异 低价股我也要 为啥作为股东的散户就没有权利买这个低价股 应该禁止非公开发行,负向
月底必上33。不信可以，但别后悔,月底必上33。不信可以，但别后悔,正向
明天会涨吗，昨天刚卖了,明天会涨吗，昨天刚卖了,正向
按这情况，跌停的可能都有,按这情况，跌停的可能都有,负向
压单又上班了,压单又上班了,中性
看的懂财报的都跑了，只有小散还在不断进来接盘。,看的懂财报的都跑了，只有小散还在不断进来接盘。,负向
环渤海动力煤价格指数连续七期上行,周二河钢4.92元开盘！这一点市场达成共识，至于,正向
在所有大白马股票里面，伊利估值确实是严重偏高了，与酒类，酱油股一样，风险偏大，不,在所有大白马股票里面，伊利估值确实是严重偏高了，与酒类，酱油股一样，风险偏大，不宜再买入！,负向
确实也蛮熬的！有好多次都有卖出的冲动！但是心想还没到三十！说话都三十呢！所以还是,确实也蛮熬的！有好多次都有卖出的冲动！但是心想还没到三十！说话都三十呢！所以还是打消的念头！,中性
你要闹哪样,你要闹哪样,负向
33.5何时能解套,33.5何时能解套,负向
34.94卖了，34.23接了回来，接早了，以为不会跌破支撑，看尾盘能否收回鼓,34.94卖了，34.23接了回来，接早了，以为不会跌破支撑，看尾盘能否收回[鼓掌],中性
主力的表演才刚刚开始,主力的表演 才刚刚开始,负向
新的筑底开始了。,新的筑底开始了。,中性
庄家大单化小单，缺德,庄家大单化小单，缺德,负向
长得最少，跌得最多极品,长得最少，跌得最多、极品,负向
高价收购，低价增发，坚决反对,高价收购（剩牧价格长期在2元以下，收购2.25元），低价增发（伊利价格在17元以上，增发15.3元），坚决反对,负向
接力氛围不减，下午炸板回封,主板方面上周有过表现的茅台带领酿酒版块，以及保利地产，中国太保，伊利股份的调整对指数影响较大。这不奇怪，这种大盘股不能指望他一直上涨，反而今天下午题材股接力氛围不减，除了次新，多只上午的炸版股的回封。,中性
重大好消息：今日伊利股份债券获批，资金充足，美股大升，上证伊利紧随其后涨。昨日消,重大好消息：今日伊利股份债券获批，资金充足，美股大升，上证伊利紧随其后涨。昨日消费指数带动伊利股价走红，其次贵州茅台股价再创历新高，带动消费股，饮料股，高成长高分红股股价一片红。随着三季度业绩陆续发布，伊利销量利润再提升，资金集中买入这料优质板块，三大指数涨，业绩利润涨，伊利股份股价停留在28--29元区间吸码调整中，后续爆发力强势可待。百利而无一害，强烈买入评级。,正向
封板了大笑,封板了[大笑],中性
硬不了五分钟擦,硬不了五分钟 擦,负向
宇峰解盘：主力资金持续撤出，成交量创新低！,股缘梦炒股悟语（173）股和股不能比,负向
美国百分之九十上市公司回购自家股票！,这才能知道公司价值所在,中性
牛回头,可以买了，27.63开仓。,正向
个人一点猜测,"伊利大主力打压股价非常厉害,完全是不计成本砸盘,应该是为大宗交易服务,必须维持20天股价的平均成本。那么问题就来了,伊利这个大宗交易干什么用的? 个人猜测很可能是入股辉山乳业。辉山的奶我喝过,小时候的味道,非常好喝,这个公司虽然上层作死,但是毕竟乳液资源在哪里摆着。现在辽宁省政府...",中性
伊利倒是挺强势的，伊利不补跌，大盘是不会见底的,伊利倒是挺强势的，伊利不补跌，大盘是不会见底的,正向
伊利，你妈叫你回家吃饭,伊利，你妈叫你回家吃饭,负向
东风吹，战鼓擂，火箭发射,东风吹，战鼓擂，火箭发射,正向
要做到下跌时开心，可以拿到更多廉价筹码，,要做到下跌时开心，可以拿到更多廉价筹码，,正向
这件事让我意识到危机已经显现第二天一早16冒险,创业板上市公司业绩变脸的问题,负向
伊利病人，是否还有药可救,伊利病人，是否还有药可救?,负向
伊利这两天的表现还不错嘛，明晚出一季报，难道有亮点,伊利这两天的表现还不错嘛，明晚出一季报，难道有亮点？,正向
买了几天就跌了几天哭哭哭,买了几天就跌了几天[哭][哭][哭],负向
27.81压单，吃掉主力就慌了，一起吃掉,27.81压单，吃掉主力就慌了，一起吃掉,负向
伊利股份真是个不讲信誉没有诚信的公司！,伊利股份真是个不讲信誉、没有诚信的公司！公布的仃牌时期不能遵守，还能让全国的股民对你抱有信心吗？简直是个野蛮人做野蛮的决策！,负向
大家知道下跌是什么原因吗都进来说一下，我想进来接盘,知道原因的都说一下，这股市是不是脑抽了，我真的想来接盘！！！,负向
今天跌了啊，做空稳,不然这行情没法弄，大吉大利,中性
毒奶粉死了,毒奶粉死了,负向
节前割了换兴森科技，今天扭亏为盈了！,节前割了换兴森科技，今天扭亏为盈了！,正向
牛，真牛，高位运行,牛，真牛，高位运行,正向
，短期均线多头,，短期均线多头,中性
伊利拟收购澳洲最大乳制品企业蒙牛华润五丰或参局伊利正将以强势报价向澳洲最大乳,伊利拟收购澳洲最大乳制品企业 蒙牛、华润五丰或参局伊利正将以强势报价向澳洲最大乳制品加工企业迈高集团发起资产收购要约。参与竞争的除澳洲诸多乳业外，据称，来自中国的并购者也不在少数，除了伊利乳业以外，并购者还有蒙牛的关联公司内蒙富源农业。也有澳洲媒体报道，对收购迈高有兴趣的中国企业...,中性
伊利股份以食品安全为先打造全产业链质量把控体系2016082503,伊利股份以食品安全为先 打造全产业链质量把控体系 2016-08-25 03,正向
靠，割肉跑了它又涨回去了。气死老子了。,靠，割肉跑了它又涨回去了。气死老子了。,负向
伊利股份虽然北上卖出第一，不能说明伊利就不是好股，如果相信就持有，反之就离开吧！,伊利股份虽然北上卖出第一，不能说明伊利就不是好股，如果相信就持有，反之就离开吧！,中性
要涨停的节奏赞。,要涨停的节奏[赞]。,正向
飞到蛛丝帘隙,飞到蛛丝帘隙,中性
抄家伙就是干,抄家伙就是干,正向
伊利股份又学死了,伊利股份又学死了,负向
伊利产品谷粒多好味道,伊利产品谷粒多好味道～,正向
准备拉升，坐好了,准备拉升，坐好了,正向
伊利股份正在談收購澳洲邁高,伊利搞收購座等。,中性
二会对此股没有影响,二会对此股没有影响？,中性
看来盘太大了哎,看来盘太大了…哎…,中性
超过40家中小银行备战上市全名单来了,超过40家中小银行备战上市 全名单来了哪个最快最有戏？3家银行成功挂牌上市，2家银行刚拿到IPO批文，2家银行已通过发审会，9家银行进入“预披露更新”阶段……与去年的沉寂境况不同，2018年国内银行在IPO进程上明显加快。（上海证券报）2018年12月05日 06,中性
6连跌了还是伊利稳啊,6连跌了……还是伊利稳啊,负向
伊利股份终于开闸放水了，还没上车的抓紧了，明天依旧泛红！！！,伊利股份 终于开闸放水了，还没上车的抓紧了，明天依旧泛红！！！,正向
根本没有量，死股一只。,今天纯粹是被大盘带着上了一点。,负向
这次激励方案算是取下限定价了,这次激励方案算是取下限定价了,中性
N指数市淘金：超跌重组，尤其低价小盘央企,繁华过后的雄安新区板块,负向
垃圾。,垃圾。,负向
唱高的人都死了微笑微笑微笑,唱高的人都死了[微笑][微笑][微笑],负向
伊利，投资价值显现，大胆买入,伊利，投资价值显现，大胆买入。 伊利在险资举牌效应下，进行了一波补涨行情，不过随着举牌热效应的降温和最近大盘的较大调整，伊利也进行了较大幅度的调整，但作为行业的龙头，加上业绩的稳定增长，现在具有投资价值，2016年看高25元。,正向
重点留意300509新美星目前是A股中最少流通市值的高送转股！,300509新美星目前股价还在底部区域，仅仅不到8亿元流通市值，是今年A股中最少流通市值的高送转股票，而且今明两年都没有解禁股上市流通，10送9股派6元后 股价才15元左右，绝对会填权。大家可以重点关注新美星。,正向
又曝重大利好这些股有望连板,又曝重大利好 这些股有望连板,正向
沪深交易所对高送转行为加以规范,沪深交易所对高送转行为加以规范,正向
还有40%的涨幅,还有40%的涨幅,正向
今天伊利股份是啥状况跌这么多昨天30.65才买的。,今天伊利股份是啥状况？跌这么多？昨天30.65才买的。,负向
涨3买，跌3抛！,涨3买，跌3抛！,负向
看微博广告俏皮帕瑞缇是老品新发吗！！！！！,看微博广告[俏皮]帕瑞缇是老品新发吗！！！！！,中性
做事情不要一味地模仿别人,出山第一败,负向
上33基本到我目标了，这次,上33基本到我目标了，这次,正向
从0到50很容易，可是从90到100就很难了没有那个公司会一直高增长，尤其是,从0到50很容易，可是从90到100就很难了……没有那个公司会一直高增长，尤其是发展到极大规模的时候！,中性
庄家跑了，哈哈,庄家跑了，哈哈,负向
自己想一想啊，茅台快到八十的时候，没有人敢买的，现在看起来很后悔。格力电器在十五的时候也不敢买，觉得还会下，现在已经27啦。好股票是靠时间，获得财富的。,自己想一想啊，茅台快到八十的时候，没有人敢买的，现在看起来很后悔。格力电器在十五的时候也不敢买，觉得还会下，现在已经27啦。好股票是靠时间， 获得财富的。,正向
有信心，伊利加油。献花,有信心，伊利加油。 [献花],正向
今天能涨停不,今天能涨停不,正向
快跑啊，马上就要暴跌了卖出卖出卖出,快跑啊，马上就要暴跌了[卖出][卖出][卖出],负向
一定会跌倒股权激励价格以下，不喜勿喷,一定会跌倒股权激励价格以下，不喜勿喷,负向
权重蓝筹股异动大涨实为这三大原因所致！,牛市早报｜金融监管发力只是开始，基金去库存压,中性
明天直接补息。,明天直接补息。,中性
皇马不错折腾那么久终于突破了,皇马不错折腾那么久终于突破了,正向
好企业和坏企业有什么区别吗,[胜利][不赞],中性
虽没有这只股，但看不下去，如果都这样做，股民就全部退出股市吧！,虽没有这只股，但看不下去，如果都这样做，股民就全部退出股市吧！,负向
先说说大盘，后说说伊利。大盘15分钟柱状线底背离并且在尾盘的时候dif形成金叉，,先说说大盘，后说说伊利。大盘15分钟柱状线底背离并且在尾盘的时候dif形成金叉，所以明天大盘大概率会有个15分钟级别的反抽，个股参照中信证券，走势和大盘一样。伊利今天的走势尽在预料之中，昨天收盘已经说了伊利今天会有个15分钟级别的反弹，但力度不会大，不建议参与。伊利今天走势也是反反复复，反弹力小，十分难把握，好在尾盘15分钟柱状峰线不断放大，所以明天会继续15分钟级别的反弹，但如果柱状谷峰后续不能...,中性
亲爱的伊利，你怎么了病了吗,亲爱的伊利，你怎么了？病了吗,负向
伊利下周可能回调1850元，只是猜测，各位股民不要笑哦嘻嘻,伊利下周可能回调18．50元，只是猜测，各位股民不要笑哦?嘻嘻,正向
昨天追涨今天还亏钱滴汗傲,昨天追涨今天还亏钱[滴汗][傲],负向
再跌一些补仓，买入,再跌一些补仓，买入,正向
伊利股份,[大便][大便][大便][不赞][不赞][不赞][大便][大便][大便],负向
伊利即将退市,伊利主力他妈当年就是被人操死在一晚上18块3！所以才对这个价位情有独钟！伊利已确定即将退市，以后将改为定价发行：18块3！万年不变！所以完全没必要上市浮动！[大便][不赞],负向
掉茅坑里就这么难上来吗,掉茅坑里就这么难上来吗,负向
不慌，,不慌，,负向
妈的，为毛那么多文章在说明天暴跌，明天是低吸的好时候，mmp,妈的，为毛那么多文章在说明天暴跌，明天是低吸的好时候，mmp,负向
看样子上涨无力啊,看样子上涨无力啊,负向
你妹啊，到处雷，中国的股市没法参与了，看来真是熊市啊。。,你妹啊，到处雷，中国的股市没法参与了，看来真是熊市啊。。,负向
这样搞能通过吗,这样搞能通过吗？,中性
交易量是那里来的,交易量是那里来的?,中性
昨天gjd进了这么多，总要出来换去别的地方，正常正常,昨天gjd进了这么多，总要出来换去别的地方，正常正常,负向
上周五买入的理由,60分钟0轴下柱状与股价形成底背离，dif已经接近上穿dea，日k股价受消息面影响跌破100日线后快速反弹。故上周五在30.85元建了2成仓，等下周dif上穿dea再入2成仓位。,中性
我想知道在哪儿投票啊,我想知道在哪儿投票啊,中性
为什么不能多放会,为什么不能多放会,中性
伊利也该搞个收购，大食品概念啥的,伊利也该搞个收购，大食品概念啥的,正向
同样是大白马股，这股有点缺de,同样是大白马股，这股有点缺de,负向
乳业龙头，长期来说值得投资,乳业龙头，长期来说值得投资,正向
也是醉了,也是醉了,负向
愿意上了！,愿意上了？！,中性
事件再次发酵,股价如此暴跌，主力不是傻子，而是属于相知先觉的人。如此不要命的狂奔，必然背后出现了什么重大事件。我先出来观望下，别等今晚出公告了。哎！我就日了狗了。,负向
希望证监会严查,伊利无故大跌，有人非法做空，希望证监会严查，给股民一个交待。,负向
27.27买的,27.27买的,中性
授予激励股份的对象40年内不得减持追加这个条件还可以,授予激励股份的对象40年内不得减持追加这个条件还可以,中性
不看好伊利的跑到这里来干啥，找骂如果真这样那就是心里有问题。如果说是想影响亏钱,不看好伊利的跑到这里来干啥，找骂？如果真这样那就是心里有问题。如果说是想影响亏钱的股友割肉，让你们可以低价买入，那我只能说你们比激励计划制定者的心还黑，品质更加的缺d.e.。好好的炒股，大家研究，相互提高就不行吗，非的天天在股吧里蛊惑人心，这种折福的事情以后你会后悔的,中性
暂别伊利,今天为了降融资，将拥有3年多的伊利清仓了，希望有机会能再回来。,中性
伊利目前没有企稳，不是进入好时机，周线和月线均死叉向下，观望为主。,伊利目前没有企稳，不是进入好时机，周线和月线均死叉向下，观望为主。,正向
欢迎您反对！我投支持要，因为我是小股东而不是小散！,投资者,正向
冷眼看伊利,伊利的红利早已经兑现了。这就是基金出逃的原因。3000点左右的大盘已经处于融资融券政策出台前相当的高位。大家可以想象一下，如果没有融资融券，还会有前期那么疯狂的股市吗？市场到了冷静的时候，伊利这样的大盘股还有什么资本去冲高？现阶段中小盘股才是大资金的目标。数月来，伊利股价的阴跌走...,负向
再不拉上去就难看喽,再不拉上去就难看喽,负向
各位小散放心，由于伊利股份股权很分散的特性，大股东持股比例很小，董事会通过的股权,各位小散放心，由于伊利股份股权很分散的特性，大股东持股比例很小，董事会通过的股权激励计划在股东大会上通不过的，大家一起投否决票。,正向
同是大蓝筹，速度换五粮液！奶放久了要过期，酒放久了更值钱！,同是大蓝筹，速度换五粮液！奶放久了要过期，酒放久了更值钱！,正向
这量缩的也太邪乎了,这量缩的也太邪乎了,负向
本周上30，没上车快上没机会了。,本周上30，没上车快上没机会了。,正向
今年过年不喝酒，要喝只喝伊利奶！,今年过年不喝酒，要喝只喝伊利奶！,正向
今天的走势与2月6号极其相似，坐等，会有一次下跌，不跟风,今天的走势与2月6号极其相似，坐等，会有一次下跌，不跟风,中性
相信常识还是相信趋势,相信常识还是相信趋势？,中性
Westland股东批准伊利收购公司提案,原标题：Westland股东批准伊利收购公司提案 来源：北京商报 　　北京商报讯（记者 钱瑜 姚倩）7月4日，新西兰第二大乳业合作社Westland Co-Operative Dairy Company Limited（以下简称“Westland”）董事局宣布，根据公司条例，伊利收购公司的提案已获股东批准。 　　根据Westland股东投票细节，参与投票的股东共有2494人投赞成票、165人持反对...,中性
可以配合消息回购了,可以配合消息回购了,中性
又到周末，关于伊利的一些看法,又到周末，关于伊利的一些看法,中性
看来价值投资已经深入人心了，哈哈哈,看来价值投资已经深入人心了，哈哈哈,正向
这么搞就没意思了吧。最起码红色的看着也舒服点,这么搞就没意思了吧。最起码红色的看着也舒服点,负向
站黑暗等待黎明的到來慢长的等待。,站黑暗等待黎明的到來慢长的等待。,负向
感觉现在买卖的都是小散。,感觉现在买卖的都是小散。,中性
凉,凉,负向
看好六月，撸袖开干！,"今天是5月份最后一个交易日也是周四,市场走得还是非常的OK。昨天大盘大跌70多个点，今天报复性反弹50多个点。在这里我们可以看到大盘强势的一面，昨天晚间欧美股市也是同样出现了报复式的反弹。我们大盘虽然之前是一直跟跌不跟涨，但今天大盘没有丝毫的示弱，展现出了他自己的精彩。所以今天我...",正向
耐心多一点,耐心多一点,中性
什么MSCI都是骗人的，速度抛吧,什么MSCI都是骗人的，速度抛吧,负向
将近27的本，什么时候能回来我就当存银行了，拿到年底吧！,将近27的本，什么时候能回来？我就当存银行了，拿到年底吧！,中性
创业版创业版创业版,创业版 创业版 创业版,中性
矿藏数万亿又150万纱锭投产受打赏飞机制造国之重器,储备数万亿又150万纱锭投产受打赏 飞机制造国之重器 中泰化学盐湖可开采数百年，储备富可敌国；现在又添150万纱锭全部投产销售正常，200万纱锭在2018年全部投产。近日，中泰化学或得国家补贴几亿元，2亿元已经到位，这无疑会给2018年的业绩带来重大的影响；  爱乐达自从上市以来...,正向
食之无味弃之可惜，世界十强，亚洲龙头何时雄起,[好困惑][好困惑]断断续续陪伴你十多年之久，经历了你的ST之路、伊蒙兄弟分家之怨、三鹿兄弟之死。吾儿今即将升入高中，一路走来就是伊利，偶尔小洋人（已光荣就义多年）、三鹿（牺牲品）、飞鹤（不知现在过的好不好）、双汇（据听说已属外币）!你别怨我生不逢时，在你春风得意时，我无缘（资金...,负向
彻底投降，不锁仓了，改为清仓大处理,彻底投降，不锁仓了，改为清仓大处理,负向
伊利股份：操作建议及个人小小观点！！,2016大家共赢！随势做股，势在股在，势不在股不在。 昨天反复的说让大家落袋为安，后市等我信号再去布局，可是有多少人在为贪之一字付出了惨痛的代价那？布局了几天的票一下全搭进去了！炒股最忌讳的就是“贪”！ 伊利股份该股在19.50附近遇阻之后出现连续回落，目前股价已经跌破各均线系统...,中性
现在的奶企就考提价来增长营业额和利润，奶太贵了,现在的奶企就考提价来增长营业额和利润，奶太贵了,负向
要解套了,要解套了,正向
好开森，我就是看好它，信心给了我丰厚汇报。,好开森，我就是看好它，信心给了我丰厚汇报。,正向
缩量到极致，变盘,3.5--3.53元，满仓抄底,中性
有人拼命低价抢着往外跑,有人拼命低价抢着往外跑……,负向
这算不算中线破位技术面已经连续两日跌破60日线了要回避,这算不算中线破位？技术面已经连续两日跌破60日线了？要回避？,负向
是泡屎,是泡屎？,负向
啥情况，这么大个裤衩。不过我反正是全仓不看，你们爱怎么表演就怎么表演，不到35,啥情况，这么大个裤衩。 不过我反正是全仓不看，你们爱怎么表演就怎么表演，不到35不出,负向
天天拉大锯微笑,天天拉大锯[微笑],正向
终于是发现你跟白酒的了,终于是发现你跟白酒的了,正向
