用户股吧年龄,用户昵称,个股名称,评论标题,评论内容,发帖时间,标签,label
5.9年,夏季股市,万华化学(600309.sh),万华可否分拆上市,新政策来了，允许符合条件的分拆上市,2019/8/24 10:19,中性,0
5.2年,韭菜丛中一麦苗,万华化学(600309.sh),今天还是重复昨天的故事，没戏，快跑,下午又要封板,2018/10/24 10:35,负向,-1
6.3年,都到二0239,万华化学(600309.sh),说我有病的人自己去看看那个那个缘来的股吧。华夏幸福去200卧槽此人不是人生的,说我有病的人自己去看看那个那个缘来的股吧。华夏幸福去200卧槽 此人不是人生的,2016/12/20 12:45,负向,-1
7年,良师益友1978,万华化学(600309.sh),中央汇金大举出货,中央汇金大举出货,2017/4/17 10:03,负向,-1
6.5年,阿辉1188,万华化学(600309.sh),权重纳入MSCI两大指数,权重纳入MSCI两大指数,2019/8/8 6:39,中性,0
5.2年,相信价值投资2017,万华化学(600309.sh),给春天湖边这只咬人的狗开个专场。鼓掌,给春天湖边这只咬人的狗开个专场。[鼓掌],2017/8/10 9:31,负向,-1
8.7年,man44999,万华化学(600309.sh),万华化学年产12万吨热塑性聚氨酯弹性体扩建项目环评报告,万华化学集团股份有限公司年产12万吨热塑性聚氨酯弹性体扩建项目环境影响评价第一次公示发布时间： 2018-11-29 11：17 浏览量：170 　根据《中华人民共和国环境影响评价法》、《建设项目环境保护管理条例》和《环境影响评价公众参与办法》，现向公众公开“万华化学集团股份有限...,2018/12/6 19:09,中性,0
14.1年,顺丰小哥,万华化学(600309.sh),这不是操作股价嘛奇葩,这不是操作股价嘛…… 奇葩,2018/8/23 10:46,负向,-1
6.7年,枫叶树下的枫叶2951,万华化学(600309.sh),时间总会证明你是错的,时间总会证明你是错的,2016/7/15 19:52,负向,-1
5.2年,七彩人生w,万华化学(600309.sh),整体上市改名为,整体上市改名为,2017/12/9 9:05,中性,0
8.1年,自由自在的炒5620,万华化学(600309.sh),MD今天刚被主力放量下跌给洗出来，晚上就放利好,MD今天刚被主力放量下跌给洗出来，晚上就放利好！,2017/9/11 20:01,负向,-1
5.7年,江苏股圣李泽欢,万华化学(600309.sh),明天跌破28，入。,明天跌破28，入。,2017/7/13 16:08,负向,-1
6.9年,孤独求剑pwiktq,万华化学(600309.sh),扯谈下周万华和下月大盘的走势,万华七个交易日收了六根阴线，看起来很可怕啊！但是我对万华下周的走势还是充满了希望。走势一：强劲反弹，并创历史新高，站上47元；走势二：反弹至41元之上；走势三：在38元上下盘整；走势四：继续下跌至36元上下。作为满仓万华的我当然希望走出第一，二种走势。记得看过国外一位资深投资大师...,2017/9/23 13:26,中性,0
9.4年,敖楚戈,万华化学(600309.sh),1099只A股纳入标普新兴市场指数9月23日生效,万华化学纳入,2019/9/8 8:37,正向,1
4.6年,走路咯,万华化学(600309.sh),今天是加仓的好时机，这是被低估的票，大胆买进,今天是加仓的好时机，这是被低估的票，大胆买进,2017/10/11 10:51,正向,1
7.1年,HX976BN7468,万华化学(600309.sh),见光死，千古不破的真理！,见光死，千古不破的真理！,2017/4/17 9:48,负向,-1
6.4年,只做十倍股,万华化学(600309.sh),30已到40还会远吗,万华化学是全球MDI生产龙头，MDI产能从2000年的4万吨扩大到2016年的180万吨，占国内产能294万吨的一半以上，从名不见经传到全球NO.1。MDI是高毒性高风险产品，对环保、安全压力巨大，在欧美大规模扩产的可能性不大，同时MDI需要强大的石油化工基础来就地配套支撑，其他...,2017/4/18 14:26,中性,0
7.4年,介绍的521,万华化学(600309.sh),限你五分钟给我爬起来，要不然我真的卖了啊，去你妈的,限你五分钟给我爬起来，要不然我真的卖了啊，去你妈的,2017/6/16 11:25,负向,-1
7.4年,湖南农夫,万华化学(600309.sh),万华挺能忍的！,万华挺能忍的！,2017/7/24 10:27,中性,0
11.6年,东风醉西子,万华化学(600309.sh),关于万华mdi的出口价格我再爆个料，今天偶然看到万华宁波的一些出口报关单，mdi,关于万华mdi的出口价格我再爆个料，今天偶然看到万华宁波的一些出口报关单，mdi十月份出口南非的居然只有1500美元每吨FOB宁波，出口日本的是3100美元应该是cif主要港口，聚醚出口不到两千美元。因此万华的mdi成本肯定是低于一万的，甚至低于九千。,2017/11/3 23:26,中性,0
7年,坐看云起1818,万华化学(600309.sh),怎么阳痿了拉高出货的节奏。,怎么阳痿了？拉高出货的节奏。,2016/4/26 13:21,负向,-1
7.4年,honghongye,万华化学(600309.sh),万华化学：复牌至少五个一字板，封板资金哪里来,万华化学：至少五个一字板，封板资金哪里来？ 1、指数基金,2018/5/19 16:37,中性,0
8.3年,涨停板逃,万华化学(600309.sh),万华和格力近期价格比较,万华和格力都是优质的价值投机品种[大笑]，世界的万华拥有垄断权和定价权，格力反之没有，而价格上前期都差不多，而格力近期新高是58.7元，到今天收盘价也是48.15，今天万华的收盘价才47.44元，大家要知道万华是重大资产并购，更不要说和老窖、五粮液这类酒比，看周K线一个字买[赚大了]...,2018/6/8 17:27,中性,0
6.1年,股友6dhHjZ,万华化学(600309.sh),抓紧时间,赶紧抛，逃命吧,2017/3/10 14:37,负向,-1
6.9年,HankHJF,万华化学(600309.sh),不得不说主力手法太牛了，好标的确实应该忽略主力啊,不得不说主力手法太牛了，好标的确实应该忽略主力啊,2017/4/20 10:47,正向,1
5.7年,七彩人生王,万华化学(600309.sh),看了大家翻译的德意志银行研报，核心一句话是,看了大家翻译的德意志银行研报，核心一句话是,2017/8/23 13:34,中性,0
7.1年,小叶1975aa,万华化学(600309.sh),送的股什么时候到账,送的股什么时候到账,2017/5/18 10:56,中性,0
4.1年,股友MBqnOu,万华化学(600309.sh),赚了8个点，50.70清了，有机会再回来,赚了8个点，50.70清了，有机会再回来,2019/12/10 9:43,正向,1
6.9年,期指游历,万华化学(600309.sh),不让我发帖了,好的，看我能不能忍住。[大笑],2019/2/19 12:03,负向,-1
5.9年,火箭300,万华化学(600309.sh),8月1日出中报，业绩应该不错,8月1日出中报，业绩应该不错,2017/6/30 9:15,正向,1
6.1年,北冥寻鱼,万华化学(600309.sh),有见过万华涨停的人没短线客们，机会是跌出来的，风险是涨出来的。长线客们，跌,有见过万华涨停的人没？ 短线客们，机会是跌出来的，风险是涨出来的。 长线客们，跌了价值不会少，涨了价值不会多。,2017/11/13 14:54,正向,1
5.1年,抄底耐心止损9198,万华化学(600309.sh),万华化学在构造头部吗,万华化学在构造头部吗,2017/4/25 21:17,中性,0
7.5年,水石之AC,万华化学(600309.sh),万华有几百万差能，不用太计较折旧，利息有点多，要加强管理,聚氨酯保温板和EPS板价差缩小,2016/1/22 14:26,中性,0
6.8年,忧愁适古遗航1627,万华化学(600309.sh),持有华建至今而且中间还做,持有华建至今 而且中间还做,2017/4/5 10:23,中性,0
8年,hdgfpajdh急不得,万华化学(600309.sh),羊群效应开始了，相互踩踏。融资盘和散户开始了！,羊群效应开始了，相互踩踏。融资盘和散户开始了！,2017/10/18 13:43,中性,0
6.2年,egozl,万华化学(600309.sh),十天线附近压单较大，主力还没吃够,十天线附近压单较大，主力还没吃够,2017/5/15 10:24,负向,-1
6.8年,范家豪1818,万华化学(600309.sh),万华接下来，什么优势感觉涨幅不是很大呢,万华接下来，什么优势、感觉涨幅不是很大呢、,2019/11/1 10:35,中性,0
7.4年,股民股痴,万华化学(600309.sh),按28500吨不变，明年净利润应该在180亿左右，万华抢钱呢,按28500/吨不变，明年净利润应该在180亿左右，万华抢钱呢,2017/8/28 20:57,正向,1
4.7年,anlog,万华化学(600309.sh),你真是这么鹤立独行啊，牛牛牛牛,你真是这么鹤立独行啊，牛[牛][牛][牛],2018/7/6 14:01,正向,1
5.1年,海绵宝宝72,万华化学(600309.sh),6月结算1960.0,1. 挂牌价与实际结算价不同，涨按挂牌，跌按市场平均。 2. 未来几月预估仍处在下行，主要市场需求疲软，供应比去年加大 3. 再次重申没有长协价 4. 长线尽量忽略MDI波动，短期不排除股价受MDI价格走势影响较大的可能。  祝大家持有万华发财。短线的可能发不了财：）,2018/6/29 9:01,中性,0
6.7年,股友SVpJYL,万华化学(600309.sh),密切关注市场这个信号,密切关注市场这个信号,2017/11/3 11:14,中性,0
7.4年,与庄共舞6688,万华化学(600309.sh),万华的成本会永远盈利的企业,我是万华当年的建设者，亲自参建了3600号3300号制氮车间制氢车间原料罐区等，MDI的基础原料就是空气合水以及硝酸盐酸等----通过压缩空气制氮气，电解水制氢气和氧气。。。。。。我参加了全部工艺的建设（具体不再说了）反正成本极低，只要有好的管理这个企业会永远盈利。本贴不构成投资...,2018/7/1 19:50,正向,1
8.9年,年轻人781,万华化学(600309.sh),欢呼声尖叫声在哪里大声告诉我，今天你开心吗鼓掌大笑鼓掌大笑,欢呼声尖叫声在哪里？ 大声告诉我，今天你开心吗[鼓掌][大笑][鼓掌][大笑][鼓掌][大笑][鼓掌][鼓掌][鼓掌][大笑][大笑][大笑][大笑],2018/7/13 20:02,正向,1
5.5年,蘑菇晕3516,万华化学(600309.sh),被套牢了，那好吧，就等着解套了。,被证金公司给坑了。,2017/4/17 14:59,负向,-1
7.9年,钱龙用户8099,万华化学(600309.sh),同学的情人227,智慧农业(000816)：机构运作明显，即将突破，短线目标8元。（祁连山600720涨35%后另一推荐）,2017/2/27 14:03,正向,1
7.2年,美而雅2,万华化学(600309.sh),万华不到40不放手,万华不到40是不会清仓的,2017/7/13 11:15,中性,0
9年,股海有路低为径,万华化学(600309.sh),沧化总算在万华面前出了口气，这样下去真不知谁收购谁,当然，万华收购沧化的胜算还是大点,2018/9/4 15:02,正向,1
5.4年,可以更好1,万华化学(600309.sh),上联：四川双马泸天化求对下联,上联：四川双马泸天化 求对下联,2017/1/4 10:57,中性,0
7.2年,美而雅2,万华化学(600309.sh),谁被清洗了,今天谁被清洗了？清洗的吱一声,2017/1/13 14:58,中性,0
5.3年,股友v7s3330902,万华化学(600309.sh),很多时候，不快乐并不是因为快乐的条件没有齐备，而是因为活得还不够简单。,很多时候，不快乐并不是因为快乐的条件没有齐备，而是因为活得还不够简单。,2017/2/27 19:31,中性,0
8.9年,大海1998,万华化学(600309.sh),聚合mdi价格下调，意料之中，看市场怎么解读了。对于不了解该行业的人来说，产品降,聚合mdi价格下调，意料之中，看市场怎么解读了。对于不了解该行业的人来说，产品降价自然是坏事，但稍微了解一点的人都知道真正相关的是产品和原料的差价，而这个月纯苯价格下跌2200元/吨，高于mdi跌幅，价差继续扩大。纯mdi逆市上涨2500元/吨，应该是利好才是，目前看下月利润进一...,2017/3/29 12:12,中性,0
6.2年,egozl,万华化学(600309.sh),最少价值60的股，你们44就要卖，我对你们真是太感谢了，感谢你们给了我4,最少价值60的股，你们44就要卖，我对你们真是太…………感谢了，感谢你们给了我43加仓的机会，没有你们我捡不到这笔钱,2018/6/5 13:21,正向,1
7.2年,jerry寇,万华化学(600309.sh),增发已经完毕，机构的任务已经完成，今天的年线假突破已经把今天追高的的人闷杀在里面，任务利润均已完成机构玩的漂亮啊,增发已经完毕， 机构的任务已经完成，今天的年线假突破已经把今天追高的的人闷杀在里面，任务 利润均已完成 机构玩的漂亮啊,2016/6/16 22:30,负向,-1
7.3年,菲欧娜公主,万华化学(600309.sh),下周宁德时代上市，我也买点。咋就不下来了呢,下周宁德时代上市，我也买点。咋就不下来了呢？,2018/6/8 14:54,中性,0
8.9年,金钱狼,万华化学(600309.sh),万华化学，有个怪现象，它每年的业绩都不错，就是不怎么计提公积金的2011年到2,万华化学，有个怪现象，它每年的业绩都不错，就是不怎么计提公积金的？2011年到2015年就计提了一分钱，这计提公积金是有规定的比例吧？这算不算是违规了？,2017/3/29 22:30,中性,0
5.2年,股友VEKsLD,万华化学(600309.sh),阿拉伯骆驼，尽快回到万华母亲的怀抱才是你的选择！,阿拉伯骆驼，尽快回到万华母亲的怀抱才是你的选择！,2017/9/4 9:58,正向,1
8.3年,dgscwong,万华化学(600309.sh),绩优股本色,大盘上涨股价大涨才对!,2017/5/25 13:37,正向,1
6.9年,礼子999,万华化学(600309.sh),奔走相告哈哈，25.660.98元业绩次新股江苏,明天起上证指数大反攻,2017/7/14 13:37,正向,1
8.3年,柯蕤莎,万华化学(600309.sh),尾盘放量了，回调结束。,尾盘放量了，回调结束。,2017/6/16 15:01,中性,0
4.2年,股友2WcA11,万华化学(600309.sh),到底什么时候分红！？！,到底什么时候分红？！？！,2018/7/7 19:13,中性,0
7.1年,荷荷2640004244,万华化学(600309.sh),会有反转的买入,会有反转的[买入],2016/1/5 14:38,正向,1
2.8年,从里面有过,万华化学(600309.sh),600368五洲交通每股5块左右，市盈2.12明天必定反弹,600368五洲交通 每股5块左右，市盈2.12 明天必定反弹,2019/7/10 14:36,正向,1
3.9年,股友J14U66,万华化学(600309.sh),下降周期。不能碰,下降周期。不能碰,2018/11/27 13:39,负向,-1
11.2年,zhoufm1186,万华化学(600309.sh),坚信万华18年超60元，暂时震荡不怕，坚定抱紧！,万华不比茅台差！,2017/10/19 10:27,正向,1
6.9年,钓鱼一日,万华化学(600309.sh),咬住。傲,咬住。[傲],2017/7/14 11:24,正向,1
5.2年,luyuyema,万华化学(600309.sh),真正铁了心坚守个把年的怎么会来股吧扯淡，能一天看一眼股价就不错了。在这里扯淡的都是心思活络的。,真正铁了心坚守个把年的怎么会来股吧扯淡，能一天看一眼股价就不错了。在这里扯淡的都是心思活络的。,2018/8/27 10:28,负向,-1
6.8年,zjgcjx,万华化学(600309.sh),四季度业绩不好,四季度业绩不好,2019/1/24 10:31,负向,-1
5.7年,七彩人生王,万华化学(600309.sh),确实是迫使融资盘割肉的走势！,确实是迫使融资盘割肉的走势！,2017/9/19 13:28,负向,-1
6.8年,刘倩婷adam7097,万华化学(600309.sh),权重引发个股分化，本周行情不平静,权重引发个股分化，本周行情不平静,2017/4/1 8:16,负向,-1
5.2年,东南风13,万华化学(600309.sh),WANICE174高吸水性树脂SAP成功参展第24届生活用纸科技展,WANICE?高吸水性树脂SAP成功参展第24届生活用纸科技展  吸水力MAX的高吸水性树脂收获展会人气满满！ 高朋满座，宾客如云，门庭若市，人气爆棚！这是万华化学参加3月22日-24日在武汉国际博览中心举行的CIDPEX 2017武汉生活用纸展三天的真实写照。  在这次汇集来自...,2017/3/31 9:16,正向,1
6.1年,孤独醉美,万华化学(600309.sh),万华加油，你咋回事啊！,万华加油，你咋回事啊！,2018/11/5 11:23,负向,-1
7.7年,豫A3B4Q3,万华化学(600309.sh),近几天老万华咋不发言了,近几天老万华咋不发言了？,2018/6/8 12:58,中性,0
6.5年,嫩黄韭菜苗,万华化学(600309.sh),这次能干到33下面去吗各位叔叔大绳谁许愿了,这次能干到33下面去吗各位叔叔大绳谁许愿了,2019/3/25 17:54,负向,-1
6.5年,天生爱炒股11,万华化学(600309.sh),我的分红已经到账了,我的分红已经到账了,2018/1/25 19:16,正向,1
6.9年,沙糖橘伴侣,万华化学(600309.sh),减仓减仓减仓,[减仓][减仓][减仓],2016/6/8 14:53,负向,-1
14.4年,lzhvolin9442,万华化学(600309.sh),回吐。周四金价整体走势可谓大开大合，盘,回吐。周四金价整体走势可谓大开大合，盘,2017/5/20 19:07,正向,1
3.9年,股友9QrQn6,万华化学(600309.sh),可悲茅台，格力，万华等这些真正的国之重器正在以大菜价被外资，港资买走。,可悲茅台，格力，万华等这些真正的国之重器正在以大菜价被外资，港资买走。,2018/8/7 7:04,负向,-1
7.1年,步一行一者,万华化学(600309.sh),摩根史坦利研报看好万华五年内翻倍短期目标58,摩根史坦利研报 看好万华五年内翻倍 短期目标58,2018/6/21 19:42,正向,1
5.2年,西北门1,万华化学(600309.sh),历史会否重演，2009年我刚入市想买煤炭股，我买龙头神华潞安各半仓，结果潞安涨4,历史会否重演，2009年我刚入市想买煤炭股，我买龙头神华潞安各半仓，结果潞安涨4倍神华涨1倍都勉强！与今天的万华沧大太像了！,2017/7/20 17:51,中性,0
6.8年,我是空空空,万华化学(600309.sh),部分机构减仓了这是无可质疑的，但我买进了。后市怎样走让时间来评判您的发言正在审,部分机构减仓了这是无可质疑的，但我买进了。后市怎样走让时间来评判 您的发言正在审核中...,2017/5/12 15:14,中性,0
5.9年,一边走一边摇头,万华化学(600309.sh),高开高走，60%的概率,高开高走，60%的概率,2017/6/13 8:35,正向,1
7.1年,zzwani3846,万华化学(600309.sh),今天上冲16元,今天上冲16元,2018/7/9 20:54,正向,1
11.6年,东风醉西子,万华化学(600309.sh),今天聚合mdi，纯mdi同步上涨！,今天聚合mdi，纯mdi同步上涨！,2017/7/27 22:23,正向,1
5.3年,自由小韭菜,万华化学(600309.sh),万华一季度增长61%，重组不成功也无所谓了！价值典范！放心持有！,万华一季度增长61%，重组不成功也无所谓了！价值典范！放心持有！,2018/4/26 22:57,正向,1
5.2年,股友VEKsLD,万华化学(600309.sh),万华特种兵产品来袭特种兵，在兵种上指执行特殊任务的兵种，例如海军陆战队空,万华特种“兵”产品来袭 特种兵，在兵种上指执行特殊任务的兵种，例如海军陆战队、空降兵部队、武警特警部队等。在兵员上指组成特种部队的单位人员，例如爆破兵、空降兵、破译兵、狙击手等。他们与毒贩生死搏斗，他们与危险分子争分夺秒，他们出现在环境最恶劣的地方，洪灾、火灾、地震、爆炸，他们用...,2017/3/31 12:34,中性,0
6年,股友QkehtO3566,万华化学(600309.sh),万华化学的MDI已从2月的9777元t上涨到5月的13500元t，万华化学的股票怎么能不涨呢大白马股！,万华化学的MDI已从2月的9777元/t上涨到5月的13500元/t，万华化学的股票怎么能不涨呢？大白马股！,2016/5/11 13:42,正向,1
5.2年,相信价值投资2017,万华化学(600309.sh),万华化学评级不受其收购母公司资产重组计划影响5月14日，标普全球评级宣布，万华,万华化学评级不受其收购母公司资产重组计划影响 5月14日，标普全球评级宣布，万华化学集团股份有限公司（万华化学：BBB-/正面/--）的主体信用评级不受其收购母公司所有资产计划的影响，原因在于该重组计划与标普的预期一致，标普继续将此评估为正面信用因素。,2018/5/15 15:52,中性,0
4.4年,蓝的房子,万华化学(600309.sh),上市公司高送转之所以沦为很重要的一点,明白了、原来操纵也有许可证,2018/10/17 16:51,中性,0
9.5年,n尚舞,万华化学(600309.sh),散户都知道看好的股，没戏！有分岐才有行情！,散户都知道看好的股，没戏！有分岐才有行情！,2017/2/6 13:37,中性,0
5.3年,飘过2017,万华化学(600309.sh),周期股之殇,事实证明万华是典型的周期股，mdi占净利润的7成，产品价格大跌，业绩必定变脸，君子不立危墙之下,2018/10/25 12:09,负向,-1
6.8年,无界翱翔1987,万华化学(600309.sh),变得磨来磨去，毫无激情，希望破灭,变得磨来磨去，毫无激情，希望破灭,2017/6/6 11:01,负向,-1
6.5年,天生爱炒股11,万华化学(600309.sh),万花排35名，38亿，也算是基金重仓了。,万花排35名，38亿，也算是基金重仓了。,2018/7/22 22:13,正向,1
7.1年,hufree,万华化学(600309.sh),炒其他股基本是亏，还是买了万华安心呀，化工茅台,炒其他股基本是亏，还是买了万华安心呀 ，化工茅台,2017/9/5 12:42,正向,1
6.4年,只做十倍股,万华化学(600309.sh),想走的走，想来的来,想走的走，想来的来，股市就是一场进进出出的游戏，远看方知风浪小，凌空乃知海波平！论至德者不和于俗，成大功者不谋于众。,2017/2/17 11:41,中性,0
9.6年,ytml9308,万华化学(600309.sh),聚合MDI价格指数2016.9.22,聚合MDI价格指数 [ 参看当前指数说明 ] 日 期 指 数 值 涨 跌 幅 度 指数解读   2016-09-22 1177.73 45.61 4.03%  2016-09-21 1132.13 67.74 6.36%  2016-09-20 1064.39 -5.37 -0....,2016/9/23 9:49,中性,0
8.7年,bestq,万华化学(600309.sh),28.20重仓，准备长期持有，各位高手给些建议吧！,28.20重仓，准备长期持有，各位高手给些建议吧！,2017/4/27 15:38,正向,1
8.5年,饕客,万华化学(600309.sh),工信部：将制定新材料产业发展若干政策20170608来源：,工信部： 将制定新材料产业发展若干政策 2017-06-08 来源：中国证券网  　　中国证券网讯，6月8日，第三届中国石油与化工可持续发展论坛在上海召开，工信部原材料工业司副司长潘爱华在论坛上表示，政府部门接下来在推进新材料发展方面将做十项重点工作。 　　新材料在石油化工领域的...,2017/6/8 19:36,中性,0
5.7年,郭哥迈步从头越,万华化学(600309.sh),二周内必创历史新高！,二周内必创历史新高！不管风吹雨打，胜似闲庭信步！,2017/3/30 17:29,正向,1
6.1年,股友9jDiQo,万华化学(600309.sh),万华的半年报有史以来最好，亮瞎你的眼，前些日子我去了万华工业园。下面一个分公司经,万华的半年报有史以来最好，亮瞎你的眼，前些日子我去了万华工业园。下面一个分公司经理讲的，,2017/7/17 17:38,中性,0
15年,股友wVw6Sy,万华化学(600309.sh),抱团拉升，怎么出货谁来接盘,抱团拉升，怎么出货？谁来接盘？,2017/7/19 14:35,中性,0
7年,股友eQUCVk,山东黄金(600547.sh),此时的黄金已是比较低的点位了,此时的黄金已是比较低的点位了,2019/4/16 9:58,负向,-1
4.7年,股友Mnpity,山东黄金(600547.sh),垃圾股，黄金本身也是垃圾啦，巴菲特开完股东大会之后，就没好过,垃圾股，黄金本身也是垃圾啦，巴菲特开完股东大会之后，就没好过,2018/7/26 14:01,负向,-1
5.4年,ewinworld,山东黄金(600547.sh),这都不翻红，太让人失望了。走了！,这都不翻红，太让人失望了。走了！,2017/11/16 14:25,负向,-1
2.7年,一帆风顺x1688,山东黄金(600547.sh),被深套哭,被深套[哭],2019/9/12 9:34,负向,-1
6.8年,股友n5dqxY,山东黄金(600547.sh),我现在吧我,我现在吧我,2017/11/14 11:53,中性,0
7.2年,赵枫220,山东黄金(600547.sh),昨天尾盘亏本卖了300手，昨晚外围黄金期货大涨哭以为美国会连续降息呢。结果做,昨天尾盘亏本卖了300手，昨晚外围黄金期货大涨[哭]以为美国会连续降息呢。结果做反了。我太楠了。哎。。。。,2019/12/12 8:43,负向,-1
2.8年,账户已注销,山东黄金(600547.sh),跌破30一副眼镜，全仓加满胜利胜利正负2波动幅度，这是什么前奏或是为解禁,跌破30一副眼镜，全仓加满[胜利][胜利]正负2波动幅度，这是什么前奏或是为解禁埋伏笔[围观][围观],2019/10/15 14:12,负向,-1
3.9年,火宫红殿,山东黄金(600547.sh),送的股票什么时候到账户,送的股票什么时候到账户？？？？？？,2019/8/20 9:13,中性,0
4.3年,佛系小萨米,山东黄金(600547.sh),结束暴跌,结束暴跌,2019/12/13 14:58,中性,0
2.9年,李老湿梦一场,山东黄金(600547.sh),为什么都要卖。。28号以后继续持有不好么。。,为什么都要卖。。28号以后继续持有不好么。。,2019/6/25 11:34,正向,1
10.3年,chg321,山东黄金(600547.sh),百万实盘，新的起点，新的梦想，不求暴利，只求稳定！,尾盘关注个股：美格智能（002881）山东黄金（600547）新美星（300509）,2019/8/9 14:08,正向,1
3.1年,专射南宁人一嘴,山东黄金(600547.sh),我早就说了，27左右可以考虑进，明天铁定大跌超过5个点,我早就说了，27左右可以考虑进，明天铁定大跌超过5个点,2019/11/7 23:53,负向,-1
3.2年,炒股小裴,山东黄金(600547.sh),请问山金这次分红是好事还是坏事，炒股小白一个，求各位哥哥解释一下,请问山金这次分红是好事还是坏事，炒股小白一个，求各位哥哥解释一下,2019/8/17 3:22,中性,0
6.3年,衰竭末端,山东黄金(600547.sh),周线看差不多到位，下星期能否反攻，吃掉月k的部分上影线。,周线看差不多到位，下星期能否反攻，吃掉月k的部分上影线。,2017/8/25 18:52,中性,0
8.8年,一世之雄,山东黄金(600547.sh),黄金今天夜盘过1300,黄金今天夜盘过1300,2017/6/6 14:40,正向,1
4.5年,一匹骏马2,山东黄金(600547.sh),初露牛刀，大的行情还在后面，视目以待，个人观点，大家多多发财,初露牛刀，大的行情还在后面，视目以待，个人观点，大家多多发财……,2018/9/7 14:25,正向,1
5.1年,康复来,山东黄金(600547.sh),拉尾盘，明天危险了,拉尾盘，明天危险了,2019/11/19 14:52,负向,-1
5年,股友fyvCw10045,华泰证券(601688.sh),买买买，机会难得,买买买，机会难得,2017/5/5 14:09,正向,1
4.4年,股友6fH,山东黄金(600547.sh),北向资金在发力吸筹山金了,北向资金在发力吸筹山金了,2019/9/30 10:00,中性,0
4.1年,隔壁老王Messi,山东黄金(600547.sh),冲上天也不得钱,冲上天也不得钱,2018/6/4 12:15,负向,-1
7.1年,今生做自己的股神,山东黄金(600547.sh),故事才刚刚开始,都是定增闹的，不要折腾，积点德吧！,2017/4/5 19:56,负向,-1
8.9年,mikefan1985,山东黄金(600547.sh),主力昨天就想跌停，但是散户人数还没到位,他们说再等等，等人够了再跌下去那样赚的多，而且赚得爽！,2016/4/7 13:16,负向,-1
11.2年,江南一散户,山东黄金(600547.sh),山金很猛，我已经记不清是第几次下车了！,山金很猛，我已经记不清是第几次下车了！  今天尾盘，股价如果调整下来，我再上车！,2016/4/29 12:00,正向,1
10年,道道有门,山东黄金(600547.sh),各位看官，明天山金早盘跌7个点以下方可接。不然脚步会踏错！赞赞,各位看官，明天山金早盘跌7个点以下方可接。不然脚步会踏错！[赞][赞],2016/11/8 0:15,正向,1
4.5年,一匹骏马2,山东黄金(600547.sh),最大可能破24元,最大可能破24元,2018/9/11 9:43,中性,0
6.6年,佬武催化创富,山东黄金(600547.sh),好股上10012月等你价你们可以吐槽,好股上10012月等你价你们可以吐槽,2019/9/3 15:42,负向,-1
6.3年,tiangshi1,山东黄金(600547.sh),要涨停,[赞[赞]赞],2017/6/16 14:04,正向,1
2.7年,一帆风顺x1688,山东黄金(600547.sh),走了，你们发财,走了，你们发财,2019/12/25 13:56,负向,-1
3.2年,股友SvwQKq,山东黄金(600547.sh),不到二十五不接,不到二十五不接,2019/11/27 9:45,中性,0
3.8年,浪中戏水,山东黄金(600547.sh),美股巴里克黄金涨2个多点，山东金今天看你表现了,美股巴里克黄金涨2个多点，山东金今天看你表现了,2018/9/28 7:41,正向,1
6.8年,过目云烟888985,山东黄金(600547.sh),这么多人看破黄金股，那还是不要炒股了，黄金股属于股票，还是跟大盘走的，黄金股依旧,这么多人看破黄金股，那还是不要炒股了，黄金股属于股票，还是跟大盘走的，黄金股依旧是大盘不好的状态下，散户避险的股票。,2016/8/6 9:16,正向,1
6年,鲁飞88,山东黄金(600547.sh),山东黄金这样跌法明日就到26了,山东黄金明日就26了,2017/5/23 14:36,中性,0
5.8年,股友t4ZNsm2695,山东黄金(600547.sh),股权争议各方自查。,股权争议各方自查。,2017/11/15 17:19,中性,0
5.1年,有限形式表现无限,山东黄金(600547.sh),明天高开五个点，然后上冲到8个点，然后下拉到6个点，最后涨停。总有人拿不住要卖,明天高开五个点，然后上冲到8个点，然后下拉到6个点，最后涨停。总有人拿不住要卖[微笑],2019/8/25 18:40,正向,1
4.3年,宝丰专业户,山东黄金(600547.sh),今天保证跌五个点,今天保证跌五个点,2019/10/24 12:56,负向,-1
4.6年,bruceja,山东黄金(600547.sh),妖股再现！,妖股再现？！,2018/9/1 8:57,正向,1
5.7年,不炒股份177662,山东黄金(600547.sh),明天开盘涨停,56元,2016/12/13 14:38,正向,1
7.1年,浪洮沙,山东黄金(600547.sh),下跌才刚刚开始啊！长线破位,下跌才刚刚开始啊！长线破位,2018/2/9 11:39,中性,0
5.2年,明天以后7,山东黄金(600547.sh),跑了，跑了，认怂,跑了，跑了，认怂,2019/9/16 14:12,负向,-1
3.2年,小鸡炖盐须,山东黄金(600547.sh),明天小幅上涨，最好高抛低吸，赚点来奶粉钱，美滋滋,明天小幅上涨，最好高抛低吸，赚点来奶粉钱，美滋滋,2019/11/11 19:18,正向,1
6.9年,清心明净,山东黄金(600547.sh),还是这里好，外面又是指数大红，个股大绿,"35,35,35,35!!!",2017/6/26 19:59,中性,0
6.6年,股友cOmKJu,山东黄金(600547.sh),股市直播中旗股份大跌到大涨高送转是数字,新行情发力！！,2017/4/3 5:25,正向,1
4.3年,股友jkf2cK9145,山东黄金(600547.sh),今天只有更低大家别上当,今天只有更低大家别上当,2018/1/17 12:51,负向,-1
